Build	Killer	Trapper	Corrupt Intervention	Deadlock	No Way Out	Save The Best For Last
Build	Killer	Spirit Rin	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Sloppy Butcher
Build	Killer	Spirit Rin	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Legion	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Thanatophobia
Build	Killer	Legion	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Plague	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Thanatophobia
Build	Killer	Plague	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Ghostface	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Sloppy Butcher
Build	Killer	Ghostface	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Demogorgon	Barbecue & Chilli	I'm All Ears	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Demogorgon	Barbecue & Chilli	Lethal Pursuer	Save The Best For Last	Scourge Hook Pain Resonance
Build	Killer	Oni	Barbecue & Chilli	Infectious Fright	Lethal Pursuer	Monitor & Abuse
Build	Killer	Oni	Barbecue & Chilli	Lethal Pursuer	Monitor & Abuse	Scourge Hook Pain Resonance
Build	Killer	Deathslinger	Barbecue & Chilli	Lethal Pursuer	Save The Best For Last	Scourge Hook Pain Resonance
Build	Killer	Deathslinger	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Pyramid Head	Barbecue & Chilli	I'm All Ears	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Pyramid Head	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Scourge Hook Floods of Rage
Build	Killer	Blight	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Shadowborn
Build	Killer	Blight	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Floods of Rage	Scourge Hook Pain Resonance
Build	Killer	Twins	Barbecue & Chilli	Forced Penance	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Twins	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Sloppy Butcher
Build	Killer	Trickster	Barbecue & Chilli	Iron Maiden	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Trickster	Barbecue & Chilli	Lethal Pursuer	Monitor & Abuse	Scourge Hook Pain Resonance
Build	Killer	Nemesis	Barbecue & Chilli	Discordance	Save The Best For Last	Scourge Hook Pain Resonance
Build	Killer	Nemesis	Barbecue & Chilli	Lethal Pursuer	Save The Best For Last	Scourge Hook Pain Resonance
Build	Killer	Cenobite	Barbecue & Chilli	Hoarder	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Cenobite	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Artist	Barbecue & Chilli	Dead Man's Switch	Discordance	Scourge Hook Pain Resonance
Build	Killer	Artist	Barbecue & Chilli	Dead Man's Switch	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Sadako	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Sloppy Butcher
Build	Killer	Sadako	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Dredge	Barbecue & Chilli	Lethal Pursuer	Make Your Choice	Scourge Hook Pain Resonance
Build	Killer	Dredge	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
